Year,Season,Site,Scenario,Habitat
1942,Jul-Sep,Picnic Crossing,PD,12.48
1943,Jul-Sep,Picnic Crossing,PD,11.73
1944,Jul-Sep,Picnic Crossing,PD,12.1
1945,Jul-Sep,Picnic Crossing,PD,17.99
1946,Jul-Sep,Picnic Crossing,PD,11.89
1947,Jul-Sep,Picnic Crossing,PD,9.41
1948,Jul-Sep,Picnic Crossing,PD,12.7
1949,Jul-Sep,Picnic Crossing,PD,16.02
1950,Jul-Sep,Picnic Crossing,PD,18.12
1951,Jul-Sep,Picnic Crossing,PD,12.18
1952,Jul-Sep,Picnic Crossing,PD,7.77
1953,Jul-Sep,Picnic Crossing,PD,11.94
1954,Jul-Sep,Picnic Crossing,PD,13.3
1955,Jul-Sep,Picnic Crossing,PD,14.02
1956,Jul-Sep,Picnic Crossing,PD,14.46
1957,Jul-Sep,Picnic Crossing,PD,14.55
1958,Jul-Sep,Picnic Crossing,PD,13.21
1959,Jul-Sep,Picnic Crossing,PD,14.8
1960,Jul-Sep,Picnic Crossing,PD,11.32
1961,Jul-Sep,Picnic Crossing,PD,6.98
1962,Jul-Sep,Picnic Crossing,PD,14.52
1963,Jul-Sep,Picnic Crossing,PD,13.75
1964,Jul-Sep,Picnic Crossing,PD,13.57
1965,Jul-Sep,Picnic Crossing,PD,12.89
1966,Jul-Sep,Picnic Crossing,PD,7.73
1967,Jul-Sep,Picnic Crossing,PD,14.82
1968,Jul-Sep,Picnic Crossing,PD,10.87
1969,Jul-Sep,Picnic Crossing,PD,11.73
1970,Jul-Sep,Picnic Crossing,PD,9.76
1971,Jul-Sep,Picnic Crossing,PD,13.12
1972,Jul-Sep,Picnic Crossing,PD,15.13
1973,Jul-Sep,Picnic Crossing,PD,13.27
1974,Jul-Sep,Picnic Crossing,PD,14.78
1975,Jul-Sep,Picnic Crossing,PD,13.38
1976,Jul-Sep,Picnic Crossing,PD,12.43
1977,Jul-Sep,Picnic Crossing,PD,15.76
1978,Jul-Sep,Picnic Crossing,PD,6.84
1979,Jul-Sep,Picnic Crossing,PD,15.02
1980,Jul-Sep,Picnic Crossing,PD,11.99
1981,Jul-Sep,Picnic Crossing,PD,13.37
1982,Jul-Sep,Picnic Crossing,PD,13.52
1983,Jul-Sep,Picnic Crossing,PD,11.97
1984,Jul-Sep,Picnic Crossing,PD,8.59
1985,Jul-Sep,Picnic Crossing,PD,12.62
1986,Jul-Sep,Picnic Crossing,PD,11.45
1987,Jul-Sep,Picnic Crossing,PD,10.04
1988,Jul-Sep,Picnic Crossing,PD,8.61
1989,Jul-Sep,Picnic Crossing,PD,13.83
1990,Jul-Sep,Picnic Crossing,PD,14.46
1991,Jul-Sep,Picnic Crossing,PD,10.46
1992,Jul-Sep,Picnic Crossing,PD,4.93
1993,Jul-Sep,Picnic Crossing,PD,9.62
1994,Jul-Sep,Picnic Crossing,PD,10.84
1995,Jul-Sep,Picnic Crossing,PD,10.81
1996,Jul-Sep,Picnic Crossing,PD,12.1
1997,Jul-Sep,Picnic Crossing,PD,11.1
1998,Jul-Sep,Picnic Crossing,PD,9.29
1999,Jul-Sep,Picnic Crossing,PD,13.43
2000,Jul-Sep,Picnic Crossing,PD,14.64
2001,Jul-Sep,Picnic Crossing,PD,11.8
2002,Jul-Sep,Picnic Crossing,PD,7.13
2003,Jul-Sep,Picnic Crossing,PD,9.37
2004,Jul-Sep,Picnic Crossing,PD,13.67
2005,Jul-Sep,Picnic Crossing,PD,12.3
2006,Jul-Sep,Picnic Crossing,PD,16.13
2007,Jul-Sep,Picnic Crossing,PD,11.59
2008,Jul-Sep,Picnic Crossing,PD,12.56
2009,Jul-Sep,Picnic Crossing,PD,11.68
2010,Jul-Sep,Picnic Crossing,PD,12.53
2011,Jul-Sep,Picnic Crossing,PD,14.37
2012,Jul-Sep,Picnic Crossing,PD,13.42
2013,Jul-Sep,Picnic Crossing,PD,13.63
2014,Jul-Sep,Picnic Crossing,PD,16.43
2015,Jul-Sep,Picnic Crossing,PD,11.64
2016,Jul-Sep,Picnic Crossing,PD,10.3
2017,Jul-Sep,Picnic Crossing,PD,10.87
2018,Jul-Sep,Picnic Crossing,PD,12.89
1889,Jul-Sep,Picnic Crossing,FE,0.72
1890,Jul-Sep,Picnic Crossing,FE,3.53
1891,Jul-Sep,Picnic Crossing,FE,7.67
1892,Jul-Sep,Picnic Crossing,FE,0
1893,Jul-Sep,Picnic Crossing,FE,1.09
1894,Jul-Sep,Picnic Crossing,FE,11.84
1895,Jul-Sep,Picnic Crossing,FE,3.35
1896,Jul-Sep,Picnic Crossing,FE,4.37
1897,Jul-Sep,Picnic Crossing,FE,0.79
1898,Jul-Sep,Picnic Crossing,FE,6.53
1899,Jul-Sep,Picnic Crossing,FE,3.41
1900,Jul-Sep,Picnic Crossing,FE,1.54
1901,Jul-Sep,Picnic Crossing,FE,2.87
1902,Jul-Sep,Picnic Crossing,FE,1.36
1903,Jul-Sep,Picnic Crossing,FE,10.45
1904,Jul-Sep,Picnic Crossing,FE,8.34
1905,Jul-Sep,Picnic Crossing,FE,1.45
1906,Jul-Sep,Picnic Crossing,FE,0.83
1907,Jul-Sep,Picnic Crossing,FE,0.16
1908,Jul-Sep,Picnic Crossing,FE,2.96
1909,Jul-Sep,Picnic Crossing,FE,1.16
1910,Jul-Sep,Picnic Crossing,FE,9.4
1911,Jul-Sep,Picnic Crossing,FE,9.8
1912,Jul-Sep,Picnic Crossing,FE,1.15
1913,Jul-Sep,Picnic Crossing,FE,6.29
1914,Jul-Sep,Picnic Crossing,FE,2.7
1915,Jul-Sep,Picnic Crossing,FE,1.77
1916,Jul-Sep,Picnic Crossing,FE,1.8
1917,Jul-Sep,Picnic Crossing,FE,0
1918,Jul-Sep,Picnic Crossing,FE,4.43
1919,Jul-Sep,Picnic Crossing,FE,0
1920,Jul-Sep,Picnic Crossing,FE,0
1921,Jul-Sep,Picnic Crossing,FE,5.99
1922,Jul-Sep,Picnic Crossing,FE,6.47
1923,Jul-Sep,Picnic Crossing,FE,0.4
1924,Jul-Sep,Picnic Crossing,FE,0.52
1925,Jul-Sep,Picnic Crossing,FE,6.34
1926,Jul-Sep,Picnic Crossing,FE,0
1927,Jul-Sep,Picnic Crossing,FE,7.39
1928,Jul-Sep,Picnic Crossing,FE,0.81
1929,Jul-Sep,Picnic Crossing,FE,7.1
1930,Jul-Sep,Picnic Crossing,FE,0.56
1931,Jul-Sep,Picnic Crossing,FE,0.96
1932,Jul-Sep,Picnic Crossing,FE,0.78
1933,Jul-Sep,Picnic Crossing,FE,10.05
1934,Jul-Sep,Picnic Crossing,FE,11.87
1935,Jul-Sep,Picnic Crossing,FE,0
1936,Jul-Sep,Picnic Crossing,FE,11.54
1937,Jul-Sep,Picnic Crossing,FE,0
1938,Jul-Sep,Picnic Crossing,FE,1.3
1939,Jul-Sep,Picnic Crossing,FE,6.05
1940,Jul-Sep,Picnic Crossing,FE,11.29
1941,Jul-Sep,Picnic Crossing,FE,12.36
1942,Jul-Sep,Picnic Crossing,FE,3.28
1943,Jul-Sep,Picnic Crossing,FE,0.16
1944,Jul-Sep,Picnic Crossing,FE,2.02
1945,Jul-Sep,Picnic Crossing,FE,12.67
1946,Jul-Sep,Picnic Crossing,FE,0.15
1947,Jul-Sep,Picnic Crossing,FE,0
1948,Jul-Sep,Picnic Crossing,FE,3.06
1949,Jul-Sep,Picnic Crossing,FE,8.98
1950,Jul-Sep,Picnic Crossing,FE,13.08
1951,Jul-Sep,Picnic Crossing,FE,1.07
1952,Jul-Sep,Picnic Crossing,FE,0.4
1953,Jul-Sep,Picnic Crossing,FE,1.25
1954,Jul-Sep,Picnic Crossing,FE,4.5
1955,Jul-Sep,Picnic Crossing,FE,6.06
1956,Jul-Sep,Picnic Crossing,FE,6.4
1957,Jul-Sep,Picnic Crossing,FE,7.11
1958,Jul-Sep,Picnic Crossing,FE,3.79
1959,Jul-Sep,Picnic Crossing,FE,7.2
1960,Jul-Sep,Picnic Crossing,FE,0
1961,Jul-Sep,Picnic Crossing,FE,0.44
1962,Jul-Sep,Picnic Crossing,FE,7.8
1963,Jul-Sep,Picnic Crossing,FE,5.74
1964,Jul-Sep,Picnic Crossing,FE,5.17
1965,Jul-Sep,Picnic Crossing,FE,3.15
1966,Jul-Sep,Picnic Crossing,FE,0.91
1967,Jul-Sep,Picnic Crossing,FE,8.02
1968,Jul-Sep,Picnic Crossing,FE,0
1969,Jul-Sep,Picnic Crossing,FE,0.81
1970,Jul-Sep,Picnic Crossing,FE,0.49
1971,Jul-Sep,Picnic Crossing,FE,4.22
1972,Jul-Sep,Picnic Crossing,FE,8.18
1973,Jul-Sep,Picnic Crossing,FE,5.15
1974,Jul-Sep,Picnic Crossing,FE,7.53
1975,Jul-Sep,Picnic Crossing,FE,4.04
1976,Jul-Sep,Picnic Crossing,FE,2.26
1977,Jul-Sep,Picnic Crossing,FE,9.43
1978,Jul-Sep,Picnic Crossing,FE,1.15
1979,Jul-Sep,Picnic Crossing,FE,8.94
1980,Jul-Sep,Picnic Crossing,FE,2.77
1981,Jul-Sep,Picnic Crossing,FE,4.92
1982,Jul-Sep,Picnic Crossing,FE,4.47
1983,Jul-Sep,Picnic Crossing,FE,0.24
1984,Jul-Sep,Picnic Crossing,FE,0.49
1985,Jul-Sep,Picnic Crossing,FE,2.78
1986,Jul-Sep,Picnic Crossing,FE,0.12
1987,Jul-Sep,Picnic Crossing,FE,0.98
1988,Jul-Sep,Picnic Crossing,FE,0.55
1989,Jul-Sep,Picnic Crossing,FE,6.12
1990,Jul-Sep,Picnic Crossing,FE,7.08
1991,Jul-Sep,Picnic Crossing,FE,0.43
1992,Jul-Sep,Picnic Crossing,FE,1.2
1993,Jul-Sep,Picnic Crossing,FE,1.65
1994,Jul-Sep,Picnic Crossing,FE,1.09
1995,Jul-Sep,Picnic Crossing,FE,1.42
1996,Jul-Sep,Picnic Crossing,FE,2.9
1997,Jul-Sep,Picnic Crossing,FE,0.61
1998,Jul-Sep,Picnic Crossing,FE,1.02
1999,Jul-Sep,Picnic Crossing,FE,5.02
2000,Jul-Sep,Picnic Crossing,FE,7.66
2001,Jul-Sep,Picnic Crossing,FE,1.45
2002,Jul-Sep,Picnic Crossing,FE,0.98
2003,Jul-Sep,Picnic Crossing,FE,0.53
2004,Jul-Sep,Picnic Crossing,FE,5.88
2005,Jul-Sep,Picnic Crossing,FE,2.21
2006,Jul-Sep,Picnic Crossing,FE,11.98
2007,Jul-Sep,Picnic Crossing,FE,0.17
2008,Jul-Sep,Picnic Crossing,FE,2.19
2009,Jul-Sep,Picnic Crossing,FE,0.15
2010,Jul-Sep,Picnic Crossing,FE,3.68
2011,Jul-Sep,Picnic Crossing,FE,7.73
2012,Jul-Sep,Picnic Crossing,FE,4.33
2013,Jul-Sep,Picnic Crossing,FE,5.4
2014,Jul-Sep,Picnic Crossing,FE,10.13
2015,Jul-Sep,Picnic Crossing,FE,3.52
2016,Jul-Sep,Picnic Crossing,FE,0
2017,Jul-Sep,Picnic Crossing,FE,1.4
2018,Jul-Sep,Picnic Crossing,FE,3.87
1889,Jul-Sep,Tinaroo Falls,PD,12.2
1890,Jul-Sep,Tinaroo Falls,PD,13.87
1891,Jul-Sep,Tinaroo Falls,PD,15.41
1892,Jul-Sep,Tinaroo Falls,PD,12.83
1893,Jul-Sep,Tinaroo Falls,PD,11.41
1894,Jul-Sep,Tinaroo Falls,PD,20.77
1895,Jul-Sep,Tinaroo Falls,PD,13.83
1896,Jul-Sep,Tinaroo Falls,PD,14.09
1897,Jul-Sep,Tinaroo Falls,PD,12.36
1898,Jul-Sep,Tinaroo Falls,PD,14.42
1899,Jul-Sep,Tinaroo Falls,PD,13.53
1900,Jul-Sep,Tinaroo Falls,PD,12.07
1901,Jul-Sep,Tinaroo Falls,PD,13.28
1902,Jul-Sep,Tinaroo Falls,PD,12.55
1903,Jul-Sep,Tinaroo Falls,PD,17.87
1904,Jul-Sep,Tinaroo Falls,PD,15.64
1905,Jul-Sep,Tinaroo Falls,PD,12.32
1906,Jul-Sep,Tinaroo Falls,PD,12.31
1907,Jul-Sep,Tinaroo Falls,PD,12.69
1908,Jul-Sep,Tinaroo Falls,PD,13.63
1909,Jul-Sep,Tinaroo Falls,PD,11.88
1910,Jul-Sep,Tinaroo Falls,PD,17.57
1911,Jul-Sep,Tinaroo Falls,PD,17.02
1912,Jul-Sep,Tinaroo Falls,PD,12.06
1913,Jul-Sep,Tinaroo Falls,PD,14.64
1914,Jul-Sep,Tinaroo Falls,PD,13.48
1915,Jul-Sep,Tinaroo Falls,PD,12.73
1916,Jul-Sep,Tinaroo Falls,PD,11.95
1917,Jul-Sep,Tinaroo Falls,PD,12.13
1918,Jul-Sep,Tinaroo Falls,PD,13.91
1919,Jul-Sep,Tinaroo Falls,PD,13.17
1920,Jul-Sep,Tinaroo Falls,PD,11.95
1921,Jul-Sep,Tinaroo Falls,PD,13.93
1922,Jul-Sep,Tinaroo Falls,PD,12.93
1923,Jul-Sep,Tinaroo Falls,PD,11.78
1924,Jul-Sep,Tinaroo Falls,PD,13.35
1925,Jul-Sep,Tinaroo Falls,PD,14.19
1926,Jul-Sep,Tinaroo Falls,PD,11.46
1927,Jul-Sep,Tinaroo Falls,PD,15.23
1928,Jul-Sep,Tinaroo Falls,PD,12.8
1929,Jul-Sep,Tinaroo Falls,PD,14.2
1930,Jul-Sep,Tinaroo Falls,PD,13.18
1931,Jul-Sep,Tinaroo Falls,PD,11.88
1932,Jul-Sep,Tinaroo Falls,PD,12.85
1933,Jul-Sep,Tinaroo Falls,PD,15.22
1934,Jul-Sep,Tinaroo Falls,PD,20.28
1935,Jul-Sep,Tinaroo Falls,PD,13.62
1936,Jul-Sep,Tinaroo Falls,PD,17.6
1937,Jul-Sep,Tinaroo Falls,PD,11.71
1938,Jul-Sep,Tinaroo Falls,PD,11.67
1939,Jul-Sep,Tinaroo Falls,PD,16.67
1940,Jul-Sep,Tinaroo Falls,PD,17.97
1941,Jul-Sep,Tinaroo Falls,PD,20.05
1942,Jul-Sep,Tinaroo Falls,PD,12.46
1943,Jul-Sep,Tinaroo Falls,PD,12.11
1944,Jul-Sep,Tinaroo Falls,PD,12.6
1945,Jul-Sep,Tinaroo Falls,PD,20.01
1946,Jul-Sep,Tinaroo Falls,PD,13.25
1947,Jul-Sep,Tinaroo Falls,PD,10.73
1948,Jul-Sep,Tinaroo Falls,PD,12.95
1949,Jul-Sep,Tinaroo Falls,PD,14.83
1950,Jul-Sep,Tinaroo Falls,PD,18.29
1951,Jul-Sep,Tinaroo Falls,PD,13.48
1952,Jul-Sep,Tinaroo Falls,PD,11.71
1953,Jul-Sep,Tinaroo Falls,PD,13.75
1954,Jul-Sep,Tinaroo Falls,PD,13.6
1955,Jul-Sep,Tinaroo Falls,PD,17.43
1956,Jul-Sep,Tinaroo Falls,PD,14.02
1957,Jul-Sep,Tinaroo Falls,PD,16.47
1958,Jul-Sep,Tinaroo Falls,PD,11.74
1959,Jul-Sep,Tinaroo Falls,PD,15.91
1960,Jul-Sep,Tinaroo Falls,PD,12.45
1961,Jul-Sep,Tinaroo Falls,PD,12.39
1962,Jul-Sep,Tinaroo Falls,PD,13.84
1963,Jul-Sep,Tinaroo Falls,PD,14.59
1964,Jul-Sep,Tinaroo Falls,PD,14.15
1965,Jul-Sep,Tinaroo Falls,PD,13.54
1966,Jul-Sep,Tinaroo Falls,PD,11.84
1967,Jul-Sep,Tinaroo Falls,PD,15.74
1968,Jul-Sep,Tinaroo Falls,PD,12.38
1969,Jul-Sep,Tinaroo Falls,PD,12.64
1970,Jul-Sep,Tinaroo Falls,PD,10.85
1971,Jul-Sep,Tinaroo Falls,PD,13.77
1972,Jul-Sep,Tinaroo Falls,PD,16.28
1973,Jul-Sep,Tinaroo Falls,PD,13.89
1974,Jul-Sep,Tinaroo Falls,PD,15.67
1975,Jul-Sep,Tinaroo Falls,PD,13.4
1976,Jul-Sep,Tinaroo Falls,PD,13.45
1977,Jul-Sep,Tinaroo Falls,PD,16.79
1978,Jul-Sep,Tinaroo Falls,PD,12.22
1979,Jul-Sep,Tinaroo Falls,PD,16.51
1980,Jul-Sep,Tinaroo Falls,PD,12.59
1981,Jul-Sep,Tinaroo Falls,PD,13.84
1982,Jul-Sep,Tinaroo Falls,PD,13.75
1983,Jul-Sep,Tinaroo Falls,PD,12.77
1984,Jul-Sep,Tinaroo Falls,PD,11.77
1985,Jul-Sep,Tinaroo Falls,PD,13.12
1986,Jul-Sep,Tinaroo Falls,PD,12.6
1987,Jul-Sep,Tinaroo Falls,PD,12.06
1988,Jul-Sep,Tinaroo Falls,PD,10.88
1989,Jul-Sep,Tinaroo Falls,PD,14.39
1990,Jul-Sep,Tinaroo Falls,PD,16.44
1991,Jul-Sep,Tinaroo Falls,PD,12.15
1992,Jul-Sep,Tinaroo Falls,PD,12.17
1993,Jul-Sep,Tinaroo Falls,PD,11.49
1994,Jul-Sep,Tinaroo Falls,PD,11.56
1995,Jul-Sep,Tinaroo Falls,PD,11.56
1996,Jul-Sep,Tinaroo Falls,PD,13.06
1997,Jul-Sep,Tinaroo Falls,PD,12.06
1998,Jul-Sep,Tinaroo Falls,PD,12.02
1999,Jul-Sep,Tinaroo Falls,PD,13.93
2000,Jul-Sep,Tinaroo Falls,PD,16.33
2001,Jul-Sep,Tinaroo Falls,PD,12.89
2002,Jul-Sep,Tinaroo Falls,PD,11.43
2003,Jul-Sep,Tinaroo Falls,PD,11.46
2004,Jul-Sep,Tinaroo Falls,PD,14.11
2005,Jul-Sep,Tinaroo Falls,PD,14.07
2006,Jul-Sep,Tinaroo Falls,PD,13.83
2007,Jul-Sep,Tinaroo Falls,PD,13.15
2008,Jul-Sep,Tinaroo Falls,PD,14.72
2009,Jul-Sep,Tinaroo Falls,PD,14.42
2010,Jul-Sep,Tinaroo Falls,PD,14.06
2011,Jul-Sep,Tinaroo Falls,PD,20.55
2012,Jul-Sep,Tinaroo Falls,PD,14.34
2013,Jul-Sep,Tinaroo Falls,PD,13.61
2014,Jul-Sep,Tinaroo Falls,PD,18.43
2015,Jul-Sep,Tinaroo Falls,PD,13.87
2016,Jul-Sep,Tinaroo Falls,PD,12.66
2017,Jul-Sep,Tinaroo Falls,PD,12.8
2018,Jul-Sep,Tinaroo Falls,PD,15.63
1889,Jul-Sep,Tinaroo Falls,FE,11.45
1890,Jul-Sep,Tinaroo Falls,FE,11.94
1891,Jul-Sep,Tinaroo Falls,FE,18.03
1892,Jul-Sep,Tinaroo Falls,FE,12.32
1893,Jul-Sep,Tinaroo Falls,FE,9.38
1894,Jul-Sep,Tinaroo Falls,FE,18.71
1895,Jul-Sep,Tinaroo Falls,FE,16.18
1896,Jul-Sep,Tinaroo Falls,FE,13.83
1897,Jul-Sep,Tinaroo Falls,FE,12.66
1898,Jul-Sep,Tinaroo Falls,FE,9.23
1899,Jul-Sep,Tinaroo Falls,FE,11.52
1900,Jul-Sep,Tinaroo Falls,FE,12.34
1901,Jul-Sep,Tinaroo Falls,FE,4.65
1902,Jul-Sep,Tinaroo Falls,FE,2.02
1903,Jul-Sep,Tinaroo Falls,FE,9.62
1904,Jul-Sep,Tinaroo Falls,FE,20.95
1905,Jul-Sep,Tinaroo Falls,FE,12.86
1906,Jul-Sep,Tinaroo Falls,FE,7.25
1907,Jul-Sep,Tinaroo Falls,FE,10.54
1908,Jul-Sep,Tinaroo Falls,FE,8.93
1909,Jul-Sep,Tinaroo Falls,FE,10.72
1910,Jul-Sep,Tinaroo Falls,FE,19.15
1911,Jul-Sep,Tinaroo Falls,FE,18.83
1912,Jul-Sep,Tinaroo Falls,FE,9.91
1913,Jul-Sep,Tinaroo Falls,FE,17.6
1914,Jul-Sep,Tinaroo Falls,FE,10.73
1915,Jul-Sep,Tinaroo Falls,FE,12.27
1916,Jul-Sep,Tinaroo Falls,FE,0.35
1917,Jul-Sep,Tinaroo Falls,FE,7.53
1918,Jul-Sep,Tinaroo Falls,FE,10.25
1919,Jul-Sep,Tinaroo Falls,FE,7.32
1920,Jul-Sep,Tinaroo Falls,FE,5.48
1921,Jul-Sep,Tinaroo Falls,FE,1.11
1922,Jul-Sep,Tinaroo Falls,FE,11.03
1923,Jul-Sep,Tinaroo Falls,FE,13.13
1924,Jul-Sep,Tinaroo Falls,FE,9.78
1925,Jul-Sep,Tinaroo Falls,FE,11.75
1926,Jul-Sep,Tinaroo Falls,FE,11.83
1927,Jul-Sep,Tinaroo Falls,FE,11.6
1928,Jul-Sep,Tinaroo Falls,FE,12.25
1929,Jul-Sep,Tinaroo Falls,FE,11.81
1930,Jul-Sep,Tinaroo Falls,FE,11.49
1931,Jul-Sep,Tinaroo Falls,FE,8.83
1932,Jul-Sep,Tinaroo Falls,FE,7.89
1933,Jul-Sep,Tinaroo Falls,FE,5.66
1934,Jul-Sep,Tinaroo Falls,FE,20.43
1935,Jul-Sep,Tinaroo Falls,FE,9.62
1936,Jul-Sep,Tinaroo Falls,FE,11.43
1937,Jul-Sep,Tinaroo Falls,FE,12.59
1938,Jul-Sep,Tinaroo Falls,FE,8.3
1939,Jul-Sep,Tinaroo Falls,FE,19.23
1940,Jul-Sep,Tinaroo Falls,FE,19.7
1941,Jul-Sep,Tinaroo Falls,FE,21.99
1942,Jul-Sep,Tinaroo Falls,FE,10.27
1943,Jul-Sep,Tinaroo Falls,FE,10.59
1944,Jul-Sep,Tinaroo Falls,FE,4.51
1945,Jul-Sep,Tinaroo Falls,FE,20.13
1946,Jul-Sep,Tinaroo Falls,FE,12.65
1947,Jul-Sep,Tinaroo Falls,FE,6.66
1948,Jul-Sep,Tinaroo Falls,FE,10.46
1949,Jul-Sep,Tinaroo Falls,FE,10.47
1950,Jul-Sep,Tinaroo Falls,FE,8.5
1951,Jul-Sep,Tinaroo Falls,FE,12.2
1952,Jul-Sep,Tinaroo Falls,FE,11.32
1953,Jul-Sep,Tinaroo Falls,FE,10.44
1954,Jul-Sep,Tinaroo Falls,FE,1.98
1955,Jul-Sep,Tinaroo Falls,FE,3.89
1956,Jul-Sep,Tinaroo Falls,FE,11.69
1957,Jul-Sep,Tinaroo Falls,FE,14.69
1958,Jul-Sep,Tinaroo Falls,FE,16.99
1959,Jul-Sep,Tinaroo Falls,FE,9.35
1960,Jul-Sep,Tinaroo Falls,FE,7.15
1961,Jul-Sep,Tinaroo Falls,FE,3.03
1962,Jul-Sep,Tinaroo Falls,FE,6.4
1963,Jul-Sep,Tinaroo Falls,FE,10.94
1964,Jul-Sep,Tinaroo Falls,FE,11.58
1965,Jul-Sep,Tinaroo Falls,FE,4.75
1966,Jul-Sep,Tinaroo Falls,FE,3.72
1967,Jul-Sep,Tinaroo Falls,FE,17.37
1968,Jul-Sep,Tinaroo Falls,FE,11.99
1969,Jul-Sep,Tinaroo Falls,FE,4.76
1970,Jul-Sep,Tinaroo Falls,FE,0
1971,Jul-Sep,Tinaroo Falls,FE,4.1
1972,Jul-Sep,Tinaroo Falls,FE,16.32
1973,Jul-Sep,Tinaroo Falls,FE,8.38
1974,Jul-Sep,Tinaroo Falls,FE,16.53
1975,Jul-Sep,Tinaroo Falls,FE,8.31
1976,Jul-Sep,Tinaroo Falls,FE,11.75
1977,Jul-Sep,Tinaroo Falls,FE,17.33
1978,Jul-Sep,Tinaroo Falls,FE,7.76
1979,Jul-Sep,Tinaroo Falls,FE,13.75
1980,Jul-Sep,Tinaroo Falls,FE,12.14
1981,Jul-Sep,Tinaroo Falls,FE,6.24
1982,Jul-Sep,Tinaroo Falls,FE,8.97
1983,Jul-Sep,Tinaroo Falls,FE,11.59
1984,Jul-Sep,Tinaroo Falls,FE,7.2
1985,Jul-Sep,Tinaroo Falls,FE,0
1986,Jul-Sep,Tinaroo Falls,FE,5.49
1987,Jul-Sep,Tinaroo Falls,FE,5.9
1988,Jul-Sep,Tinaroo Falls,FE,0.19
1989,Jul-Sep,Tinaroo Falls,FE,8.59
1990,Jul-Sep,Tinaroo Falls,FE,5.19
1991,Jul-Sep,Tinaroo Falls,FE,13.46
1992,Jul-Sep,Tinaroo Falls,FE,7.98
1993,Jul-Sep,Tinaroo Falls,FE,0.74
1994,Jul-Sep,Tinaroo Falls,FE,0.92
1995,Jul-Sep,Tinaroo Falls,FE,6.28
1996,Jul-Sep,Tinaroo Falls,FE,7.81
1997,Jul-Sep,Tinaroo Falls,FE,5.45
1998,Jul-Sep,Tinaroo Falls,FE,6.53
1999,Jul-Sep,Tinaroo Falls,FE,15.82
2000,Jul-Sep,Tinaroo Falls,FE,18.43
2001,Jul-Sep,Tinaroo Falls,FE,14.88
2002,Jul-Sep,Tinaroo Falls,FE,11.66
2003,Jul-Sep,Tinaroo Falls,FE,5.45
2004,Jul-Sep,Tinaroo Falls,FE,10.15
2005,Jul-Sep,Tinaroo Falls,FE,8.67
2006,Jul-Sep,Tinaroo Falls,FE,2.77
2007,Jul-Sep,Tinaroo Falls,FE,11.97
2008,Jul-Sep,Tinaroo Falls,FE,15.35
2009,Jul-Sep,Tinaroo Falls,FE,11.64
2010,Jul-Sep,Tinaroo Falls,FE,9.87
2011,Jul-Sep,Tinaroo Falls,FE,19.06
2012,Jul-Sep,Tinaroo Falls,FE,14.67
2013,Jul-Sep,Tinaroo Falls,FE,11.9
2014,Jul-Sep,Tinaroo Falls,FE,10.04
2015,Jul-Sep,Tinaroo Falls,FE,9.49
2016,Jul-Sep,Tinaroo Falls,FE,6.94
2017,Jul-Sep,Tinaroo Falls,FE,11.07
2018,Jul-Sep,Tinaroo Falls,FE,12.44
1889,Jul-Sep,Mareeba,PD,16.22
1890,Jul-Sep,Mareeba,PD,20.1
1891,Jul-Sep,Mareeba,PD,21.12
1892,Jul-Sep,Mareeba,PD,17.67
1893,Jul-Sep,Mareeba,PD,13.51
1894,Jul-Sep,Mareeba,PD,23.04
1895,Jul-Sep,Mareeba,PD,19.81
1896,Jul-Sep,Mareeba,PD,20
1897,Jul-Sep,Mareeba,PD,15.83
1898,Jul-Sep,Mareeba,PD,20.16
1899,Jul-Sep,Mareeba,PD,19.63
1900,Jul-Sep,Mareeba,PD,14.48
1901,Jul-Sep,Mareeba,PD,18.29
1902,Jul-Sep,Mareeba,PD,10.66
1903,Jul-Sep,Mareeba,PD,22.13
1904,Jul-Sep,Mareeba,PD,21.24
1905,Jul-Sep,Mareeba,PD,13.86
1906,Jul-Sep,Mareeba,PD,16.94
1907,Jul-Sep,Mareeba,PD,17.09
1908,Jul-Sep,Mareeba,PD,19.23
1909,Jul-Sep,Mareeba,PD,14.63
1910,Jul-Sep,Mareeba,PD,21.5
1911,Jul-Sep,Mareeba,PD,21.85
1912,Jul-Sep,Mareeba,PD,15.29
1913,Jul-Sep,Mareeba,PD,20.43
1914,Jul-Sep,Mareeba,PD,18.8
1915,Jul-Sep,Mareeba,PD,9.66
1916,Jul-Sep,Mareeba,PD,12.86
1917,Jul-Sep,Mareeba,PD,16.83
1918,Jul-Sep,Mareeba,PD,19.3
1919,Jul-Sep,Mareeba,PD,17.83
1920,Jul-Sep,Mareeba,PD,15.83
1921,Jul-Sep,Mareeba,PD,18.53
1922,Jul-Sep,Mareeba,PD,16.15
1923,Jul-Sep,Mareeba,PD,15.67
1924,Jul-Sep,Mareeba,PD,16.51
1925,Jul-Sep,Mareeba,PD,19.4
1926,Jul-Sep,Mareeba,PD,15.61
1927,Jul-Sep,Mareeba,PD,20.7
1928,Jul-Sep,Mareeba,PD,17.85
1929,Jul-Sep,Mareeba,PD,20.33
1930,Jul-Sep,Mareeba,PD,19.19
1931,Jul-Sep,Mareeba,PD,15.67
1932,Jul-Sep,Mareeba,PD,17.61
1933,Jul-Sep,Mareeba,PD,19.06
1934,Jul-Sep,Mareeba,PD,22.37
1935,Jul-Sep,Mareeba,PD,18.7
